Features, Accuracy
[ 1  3 10 18 20 21 29 33 41 45 46],74.5
[ 1  4 10 18 20 21 29 33 41 45 46],75.4
[ 1  5 10 18 20 21 29 33 41 45 46],75.3
[ 1  6 10 18 20 21 29 33 41 45 46],75.7
[ 1  7 10 18 20 21 29 33 41 45 46],75.6
[ 1  8 10 18 20 21 29 33 41 45 46],75.8
[ 1  9 10 18 20 21 29 33 41 45 46],75.0
[ 1 10 11 18 20 21 29 33 41 45 46],77.3
[ 1 10 12 18 20 21 29 33 41 45 46],76.3
[ 1 10 13 18 20 21 29 33 41 45 46],77.8
[ 1 10 14 18 20 21 29 33 41 45 46],77.4
[ 1 10 15 18 20 21 29 33 41 45 46],76.5
[ 1 10 16 18 20 21 29 33 41 45 46],76.3
[ 1 10 17 18 20 21 29 33 41 45 46],76.6
[ 1 10 18 19 20 21 29 33 41 45 46],76.2
[ 1 10 18 20 21 22 29 33 41 45 46],75.6
[ 1 10 18 20 21 23 29 33 41 45 46],75.4
[ 1 10 18 20 21 24 29 33 41 45 46],75.7
[ 1 10 18 20 21 25 29 33 41 45 46],76.1
[ 1 10 18 20 21 26 29 33 41 45 46],76.7
[ 1 10 18 20 21 27 29 33 41 45 46],77.9
[ 1 10 18 20 21 28 29 33 41 45 46],76.9
[ 1 10 18 20 21 29 30 33 41 45 46],76.1
[ 1 10 18 20 21 29 31 33 41 45 46],78.1
[ 1 10 18 20 21 29 32 33 41 45 46],73.9
[ 1 10 18 20 21 29 33 34 41 45 46],75.1
[ 1 10 18 20 21 29 33 35 41 45 46],74.9
[ 1 10 18 20 21 29 33 36 41 45 46],75.2
[ 1 10 18 20 21 29 33 37 41 45 46],76.2
[ 1 10 18 20 21 29 33 38 41 45 46],75.6
[ 1 10 18 20 21 29 33 39 41 45 46],78.2
[ 1 10 18 20 21 29 33 40 41 45 46],77.2
[ 1 10 18 20 21 29 33 41 42 45 46],76.4
[ 1 10 18 20 21 29 33 41 43 45 46],76.2
[ 1 10 18 20 21 29 33 41 44 45 46],77.0
[ 1 10 18 20 21 29 33 41 45 46 47],75.7
[ 1 10 18 20 21 29 33 41 45 46 48],76.1
[ 1 10 18 20 21 29 33 41 45 46 49],75.8
[ 1 10 18 20 21 29 33 41 45 46 50],77.6
[ 1  2 10 18 20 21 29 33 39 41 45 46],76.3
[ 1  3 10 18 20 21 29 33 39 41 45 46],73.9
[ 1  4 10 18 20 21 29 33 39 41 45 46],73.5
[ 1  5 10 18 20 21 29 33 39 41 45 46],74.5
[ 1  6 10 18 20 21 29 33 39 41 45 46],75.0
[ 1  7 10 18 20 21 29 33 39 41 45 46],75.0
[ 1  8 10 18 20 21 29 33 39 41 45 46],75.2
[ 1  9 10 18 20 21 29 33 39 41 45 46],75.1
[ 1 10 11 18 20 21 29 33 39 41 45 46],75.8
[ 1 10 12 18 20 21 29 33 39 41 45 46],72.8
[ 1 10 13 18 20 21 29 33 39 41 45 46],75.7
[ 1 10 14 18 20 21 29 33 39 41 45 46],76.4
[ 1 10 15 18 20 21 29 33 39 41 45 46],74.6
[ 1 10 16 18 20 21 29 33 39 41 45 46],76.0
[ 1 10 17 18 20 21 29 33 39 41 45 46],74.3
[ 1 10 18 19 20 21 29 33 39 41 45 46],76.0
[ 1 10 18 20 21 22 29 33 39 41 45 46],76.5
[ 1 10 18 20 21 23 29 33 39 41 45 46],74.8
[ 1 10 18 20 21 24 29 33 39 41 45 46],74.1
[ 1 10 18 20 21 25 29 33 39 41 45 46],75.7
[ 1 10 18 20 21 26 29 33 39 41 45 46],75.2
[ 1 10 18 20 21 27 29 33 39 41 45 46],75.6
[ 1 10 18 20 21 28 29 33 39 41 45 46],76.2
[ 1 10 18 20 21 29 30 33 39 41 45 46],73.2
[ 1 10 18 20 21 29 31 33 39 41 45 46],76.1
[ 1 10 18 20 21 29 32 33 39 41 45 46],73.1
[ 1 10 18 20 21 29 33 34 39 41 45 46],74.4
[ 1 10 18 20 21 29 33 35 39 41 45 46],75.2
[ 1 10 18 20 21 29 33 36 39 41 45 46],73.6
[ 1 10 18 20 21 29 33 37 39 41 45 46],75.1
[ 1 10 18 20 21 29 33 38 39 41 45 46],74.0
[ 1 10 18 20 21 29 33 39 40 41 45 46],75.8
[ 1 10 18 20 21 29 33 39 41 42 45 46],75.3
[ 1 10 18 20 21 29 33 39 41 43 45 46],73.4
[ 1 10 18 20 21 29 33 39 41 44 45 46],76.0
[ 1 10 18 20 21 29 33 39 41 45 46 47],74.8
[ 1 10 18 20 21 29 33 39 41 45 46 48],74.3
[ 1 10 18 20 21 29 33 39 41 45 46 49],74.7
[ 1 10 18 20 21 29 33 39 41 45 46 50],74.6
[ 1  2 10 18 20 21 22 29 33 39 41 45 46],75.1
[ 1  3 10 18 20 21 22 29 33 39 41 45 46],72.5
[ 1  4 10 18 20 21 22 29 33 39 41 45 46],72.9
[ 1  5 10 18 20 21 22 29 33 39 41 45 46],74.1
[ 1  6 10 18 20 21 22 29 33 39 41 45 46],73.1
[ 1  7 10 18 20 21 22 29 33 39 41 45 46],72.5
[ 1  8 10 18 20 21 22 29 33 39 41 45 46],72.8
[ 1  9 10 18 20 21 22 29 33 39 41 45 46],73.7
[ 1 10 11 18 20 21 22 29 33 39 41 45 46],74.1
[ 1 10 12 18 20 21 22 29 33 39 41 45 46],71.5
[ 1 10 13 18 20 21 22 29 33 39 41 45 46],72.8
[ 1 10 14 18 20 21 22 29 33 39 41 45 46],76.0
[ 1 10 15 18 20 21 22 29 33 39 41 45 46],73.5
[ 1 10 16 18 20 21 22 29 33 39 41 45 46],74.2
[ 1 10 17 18 20 21 22 29 33 39 41 45 46],72.3
[ 1 10 18 19 20 21 22 29 33 39 41 45 46],72.1
[ 1 10 18 20 21 22 23 29 33 39 41 45 46],73.9
[ 1 10 18 20 21 22 24 29 33 39 41 45 46],74.1
[ 1 10 18 20 21 22 25 29 33 39 41 45 46],75.4
[ 1 10 18 20 21 22 26 29 33 39 41 45 46],73.4
[ 1 10 18 20 21 22 27 29 33 39 41 45 46],74.4
[ 1 10 18 20 21 22 28 29 33 39 41 45 46],73.2
[ 1 10 18 20 21 22 29 30 33 39 41 45 46],72.0
[ 1 10 18 20 21 22 29 31 33 39 41 45 46],74.4
